clave_entidad,clave_actividad_economica,anio_censal,UE,A111A,H001A
2,5224,2014,312,382.956,1454
2,5242,2014,259,208.367,1061
2,5311,2014,725,399.67,1901
2,5312,2014,526,1291.907,3405
2,5313,2014,153,263.496,995
2,5321,2014,67,263.594,464
2,5322,2014,558,252.298,1349
2,5323,2014,9,2.669,18
2,5324,2014,162,372.511,981
2,5411,2014,1208,623.778,4590
2,5412,2014,724,632.103,3953
2,5413,2014,223,1526.083,1690
2,5414,2014,56,31.499,172
2,5415,2014,83,231.158,794
2,5416,2014,151,140.965,884
2,5417,2014,3,1.626,9
2,5418,2014,200,391.754,1210
2,5419,2014,548,234.196,1443
2,5511,2014,3,494.914,18
2,5611,2014,138,278.509,1188
2,5612,2014,20,137.695,634
2,5613,2014,135,1892.472,14951
2,5614,2014,1417,1636.985,9827
2,5615,2014,167,222.553,555
2,5616,2014,201,1868.791,12534
2,5617,2014,121,365.621,3831
2,5619,2014,66,430.303,2673
2,5621,2014,35,439.246,1061
2,6111,2014,628,1651.278,11733
2,6112,2014,6,8.846,64
2,6113,2014,76,971.911,5516
2,6114,2014,25,19.229,224
2,6115,2014,93,35.456,382
2,6116,2014,537,175.891,1985
2,6117,2014,5,1.349,24
2,6211,2014,2112,938.299,5066
2,6212,2014,2164,686.444,4876
2,6213,2014,541,149.455,1429
2,6214,2014,33,131.202,459
2,6215,2014,393,453.616,1758
2,6221,2014,58,860.838,2052
2,6231,2014,5,6.109,28
2,6232,2014,15,6.865,150
2,6233,2014,25,15.854,210
2,6239,2014,112,59.383,1049
2,6241,2014,471,61.1,2129
2,6242,2014,52,23.903,406
2,6243,2014,5,1.754,25
2,6244,2014,357,494.649,4756
2,7111,2014,23,10.087,195
2,7112,2014,6,1169.759,2029
2,7113,2014,21,8.777,99
2,7115,2014,17,6.515,34
2,7121,2014,21,118.259,456
2,7131,2014,76,58.572,309
2,7132,2014,107,1930.133,3061
2,7139,2014,743,538.574,3202
2,7211,2014,568,2214.427,8790
2,7212,2014,34,20.271,189
2,7213,2014,46,35.079,205
2,7223,2014,52,229.394,942
2,7224,2014,463,934.628,4548
2,7225,2014,9134,9104.359,44027
2,8111,2014,7245,2481.341,18031
2,8112,2014,587,1622.417,9888
2,8113,2014,376,434.733,1665
2,8114,2014,1961,332.677,3370
2,8121,2014,5324,813.74,8944
2,8122,2014,685,301.891,2743
2,8123,2014,99,148.131,920
2,8124,2014,390,166.958,1157
2,8129,2014,173,41.084,371
2,8131,2014,254,203.803,1348
2,8132,2014,257,172.844,1724
3,1125,2014,30,759.154,560
3,1141,2014,640,798.125,6368
3,2122,2014,3,1914.434,921
3,2123,2014,21,2724.819,2915
3,2221,2014,5,1189.379,1552
3,2361,2014,65,1040.897,1952
3,2362,2014,62,2137.485,1362
3,2371,2014,10,201.369,205
3,2372,2014,13,151.514,307
3,2373,2014,10,223.232,384
3,2379,2014,4,104.586,215
3,2381,2014,12,24.85,132
3,2382,2014,33,92.439,209
3,2383,2014,8,5.485,26
3,2389,2014,5,46.271,94
3,3113,2014,12,2.474,21
3,3114,2014,148,90.018,791
3,3115,2014,138,431.501,499
3,3116,2014,13,33.358,116
3,3117,2014,15,1040.285,1646
3,3118,2014,520,512.913,2000
3,3119,2014,13,206.176,289
3,3121,2014,239,471.043,1137
3,3131,2014,7,0.129,11
3,3141,2014,9,2.04,16
3,3149,2014,13,4.517,34
3,3152,2014,118,14.627,190
3,3222,2014,28,1.279,43
3,3231,2014,139,89.373,468
3,3256,2014,4,1.479,8
3,3271,2014,26,2.482,57
3,3272,2014,3,0.297,5
3,3273,2014,120,880.703,734
3,3274,2014,17,1.099,35
3,3279,2014,19,25.168,113
3,3323,2014,456,166.385,928
3,3327,2014,30,14.672,86
3,3371,2014,182,78.759,528
3,3391,2014,9,2.374,18
3,3399,2014,71,57.538,242
3,4311,2014,177,1838.604,3709
3,4312,2014,41,949.632,1403
3,4331,2014,14,279.305,260
3,4332,2014,14,26.493,56
3,4333,2014,7,4.997,19
3,4334,2014,19,69.445,257
3,4335,2014,14,32.043,109
3,4341,2014,81,116.353,265
3,4342,2014,235,937.008,1680
3,4343,2014,84,201.267,278
3,4351,2014,28,101.978,177
3,4352,2014,15,177.031,293
3,4353,2014,51,77.854,233
3,4354,2014,48,172.528,827
3,4361,2014,11,95.646,133
3,4611,2014,3464,816.104,7296
3,4612,2014,404,179.249,842
3,4621,2014,1071,2710.707,9021
3,4622,2014,25,272.564,1742
3,4631,2014,94,63.036,547
3,4632,2014,1118,404.999,2776
3,4633,2014,189,107.119,635
3,4641,2014,425,345.676,1444
3,4651,2014,200,170.594,639
3,4652,2014,155,65.043,402
3,4653,2014,393,100.82,966
3,4659,2014,773,118.706,1520
3,4661,2014,176,194.652,667
3,4662,2014,185,137.662,669
3,4663,2014,219,68.856,540
3,4664,2014,283,31.706,480
3,4671,2014,575,627.29,2595
3,4681,2014,133,388.473,843
3,4682,2014,377,305.501,1468
3,4683,2014,24,16.939,73
3,4684,2014,236,1017.781,2563
3,4691,2014,7,1.269,16
3,4831,2014,4,37.564,373
3,4841,2014,20,173.193,265
3,4842,2014,57,231.468,1214
3,4851,2014,12,117.981,475
3,4852,2014,3,220.6,287
3,4854,2014,12,52.081,148
3,4855,2014,23,24.379,85
3,4871,2014,44,133.804,577
3,4872,2014,130,220.972,983
3,4881,2014,14,347.256,453
3,4883,2014,17,159.491,253
3,4884,2014,24,45.233,78
3,4885,2014,11,23.304,92
3,4889,2014,3,3.383,12
3,4931,2014,9,3.655,13
3,5111,2014,17,83.762,576
3,5121,2014,11,579.729,355
3,5151,2014,13,40.55,126
3,5223,2014,11,37.82,127
3,5224,2014,150,103.859,433
3,5231,2014,7,1.667,13
3,5311,2014,245,70.849,440
3,5312,2014,198,286.537,953
3,5313,2014,69,119.046,326
3,5321,2014,93,340.446,528
3,5322,2014,152,96.935,489
3,5323,2014,3,2.864,19
3,5324,2014,53,68.374,269
3,5411,2014,241,139.524,906
3,5412,2014,275,194.427,1344
3,5413,2014,80,100.705,422
3,5414,2014,20,27.065,54
3,5415,2014,14,15.348,111
3,5416,2014,52,53.164,303
3,5418,2014,59,62.815,228
3,5419,2014,112,42.328,270
